id,days,mature,views,partner,new_id
46154411,1915,False,768573,True,2
67547140,1535,False,10203,False,3
155316225,529,False,68457,True,5
154877961,532,True,31551,False,6
48902165,1847,True,19019,False,11
131588129,796,True,5387,False,16
169029674,429,False,9421,False,24
43262007,1985,False,26684,False,27
162951230,461,True,36082,False,31
72319043,1471,False,2429821,True,33
40181830,2071,False,984385,True,35
41381217,2036,False,1577684,True,36
28205128,2433,False,625,False,37
120483921,925,True,6014,False,43
102346837,1122,False,18534438,True,45
120160350,927,True,9115,False,51
48783201,1856,True,4224,False,52
38715498,2119,False,27282,False,57
61100141,1638,False,1372343,True,59
37531762,2164,False,3993336,True,62
45109269,1937,False,37808,False,65
59715723,1660,True,6905465,True,67
27254938,2471,True,5342,False,76
70525088,1500,True,28789,False,78
34844857,2248,False,108200,False,86
70557915,1500,False,1876198,True,102
56340704,1708,False,12729,False,104
92520703,1228,False,1642544,True,116
133536470,773,True,10844,False,117
117764377,951,False,39837,False,124
51225989,1793,False,539,False,126
63602976,1592,False,32672093,True,127
58835247,1673,False,25976,False,134
47702337,1882,True,20742,False,139
71491922,1481,False,2150756,True,148
77853016,1388,True,107085,True,153
121164142,910,False,3066,False,161
62337392,1617,False,89336,False,162
89919857,1260,False,169643,True,163
75723151,1420,True,339854,True,176
129888683,798,True,1403,False,180
64168356,1581,False,1080,False,182
42693037,2000,True,10455,False,188
110883248,1018,False,4507,False,190
41222584,2041,True,663071,True,195
79729084,1368,False,205261,False,197
143585725,648,True,11789,False,198
193257936,258,False,29515,False,205
108585432,1042,False,15297,False,211
37705807,2157,True,451410,True,212
113930726,990,False,61940,False,215
42135633,2015,True,3666,False,216
147882474,603,False,21821,False,217
120246770,926,False,7418,False,222
65843701,1554,False,35081,False,225
116273666,953,False,1415,False,229
124368988,880,True,24540,False,245
111108189,1016,False,27088,False,249
72733233,1464,False,381019,True,250
39651423,2085,True,15364,False,254
129184332,824,False,397843,True,260
161669714,473,False,64843,False,264
63545943,1594,True,106183,False,267
31552109,2303,True,500595,True,274
138583485,709,True,352377,True,275
156144245,523,False,16534,False,278
35750532,2238,True,7443937,True,287
47071880,1896,False,116392808,True,290
45367945,1929,True,52886,False,291
77304462,1392,False,5638,False,295
46736025,1902,False,786061,True,298
36024998,2225,False,14861110,True,305
36160171,2219,False,6598843,True,306
42390193,2007,False,4697,False,310
54883003,1734,True,625042,True,315
154845887,533,True,32913,False,317
157364934,510,False,634275,True,319
164922061,452,False,3652,False,323
124789454,874,True,17695,False,324
179466967,349,True,10723,False,325
138437340,711,False,9339,False,327
156328689,521,False,32125,False,335
124910959,871,False,1693,False,336
54555381,1737,True,2354,False,337
86606583,1295,True,11209,False,338
137945850,713,True,9852,False,340
82473723,1338,False,1101798,True,341
54633213,1738,False,762060,True,342
87651081,1283,False,4023,False,348
144175897,642,False,3152,False,358
116642617,963,True,2091240,True,369
121805598,907,False,13510,False,370
82613055,1288,False,1472,False,372
191697728,266,False,129535,False,373
39334752,2096,True,150589,True,395
50488807,1817,True,61764,False,398
58930039,1672,True,145633,False,402
37782392,2154,True,48116,False,403
71431034,1486,False,102825,False,404
32071829,2283,False,57330,False,407
49746817,1830,False,3138,False,408
49980292,1828,False,1101541,True,409
27255690,2464,False,1736,False,412
135575703,744,False,1486,False,413
116695967,963,True,16771,False,423
31712160,2297,False,432752,True,424
103519137,1106,True,1988,False,425
127210410,845,True,552640,True,428
94122924,1209,True,1235644,True,429
38110132,2139,False,42823,True,435
77214656,1398,True,1597579,True,441
128668633,817,False,248,False,451
86107102,1298,False,4521724,True,455
46941162,1895,True,3012,False,462
52614128,1774,False,11392773,True,467
61826040,1627,True,19427,False,470
67773433,1534,True,2595197,True,471
139064318,703,False,271099,True,472
51414030,1796,True,40181,False,479
125137947,794,False,963,False,486
81507358,1349,True,81894,False,489
106050595,1074,True,91513,False,491
142418424,661,False,109952,True,492
67552297,1536,False,1754,False,493
100729901,1142,True,8849,False,494
102163520,1124,False,10176,False,499
58115154,1684,False,698715,True,504
130434140,809,True,187209,True,507
50758779,1732,False,2136,False,524
38998800,2108,False,4783,False,526
92447880,1229,True,18290,False,530
36791444,2189,False,703,False,536
139429041,695,False,13804,False,551
28579002,2418,False,7309842,True,557
80438460,1360,True,14483,False,559
106464447,1069,True,1571234,True,560
150955207,572,False,77408,False,564
118936833,939,True,59001,False,587
44995846,1940,False,38713,False,590
53376274,1757,False,416,False,595
76895515,1403,False,939031,True,599
117671197,951,True,114507,False,601
143381806,650,True,3504,False,608
153552178,544,False,13111,False,610
43898163,1964,True,6406,False,611
42739003,1999,False,12850,False,615
64276023,1582,False,2966,False,623
146244950,622,False,5443111,True,628
121656685,911,False,7967,False,640
135542137,743,True,10333,False,645
113313155,992,False,583373,True,649
116946322,960,True,338594,True,654
42648984,2001,False,1621644,True,656
152893832,545,False,14623,False,677
30672329,2336,False,7163779,True,682
61912524,1622,False,22421,False,683
59172303,1669,True,40520,False,686
85628371,1302,False,75237,False,688
31741396,2295,True,1796373,True,689
69936613,1488,False,30068,False,696
147564009,607,False,1445603,True,698
130089213,813,False,2518,False,701
153970165,540,False,81362,True,704
97142273,1175,False,17778,False,708
84772361,1313,False,6388,False,712
75990539,1415,False,17479,False,713
135083533,749,False,3417,False,715
62916113,1605,True,376263,True,717
54937110,1733,False,346748,True,720
165979679,448,False,282198,True,725
39880224,2078,True,47772,False,726
31409705,2308,False,315349,True,731
143058478,646,False,1956,False,733
66438715,1549,True,59669,True,743
90703429,1250,True,7178,False,746
42710611,2000,True,412,False,752
134571619,760,True,7016,False,763
163079780,463,True,76754,False,764
48604776,1862,False,23187,False,765
106353597,1066,False,130221,True,769
103748544,1103,False,2467726,True,777
32171655,2279,False,3242219,True,781
77477247,1393,False,161302,True,784
40961691,2042,True,46883,False,785
94221255,1208,True,12098,False,792
113415866,995,False,659962,False,799
146819360,616,True,6785,False,805
73455299,1453,False,3575365,True,806
51754692,1789,False,13714,True,807
144541383,638,True,5205,False,810
138242338,712,True,7375,False,812
40748754,2055,False,536548,True,814
125544147,863,False,28688,False,815
38418136,2130,True,50635,True,817
117262628,957,False,3138,False,818
158430942,494,True,7092,False,821
139831013,692,False,10948,False,824
116188906,967,True,105116,True,827
95721196,1189,False,487931,True,828
94959349,1198,False,38244,False,836
141784826,670,False,6269,False,838
67114748,1538,True,3143,False,840
146094379,623,False,9530,False,843
81499923,1349,True,9336,False,852
52492064,1775,False,6641,False,857
74356521,1440,True,3081,False,864
35919495,2231,False,841939,True,866
71440174,1485,True,7010520,True,869
57497395,1693,False,238276,True,870
98871095,1158,False,9277,False,874
31902687,2289,False,1199020,True,878
47962421,1876,True,20781,False,881
61301729,1636,False,9381,False,886
135104605,751,True,560606,False,887
96801079,1176,False,1289,False,888
159270742,493,False,1833997,True,894
102786914,1116,False,672045,True,899
53577580,1750,False,222291,True,902
35915632,2231,False,174686,True,905
64198626,1583,False,12045,False,913
104986515,1085,True,1273,False,924
27547571,2458,False,8685,False,942
146692039,617,True,12081,False,952
147015638,612,False,1988,False,960
4122584,3524,False,23676,False,962
75376601,1425,True,3705,False,963
53659621,1754,True,1466,False,970
48007150,1870,False,6126,False,975
166148096,444,True,13970,False,980
56559621,1705,False,2979319,True,982
79890440,1366,True,66632,True,984
156588072,517,False,6303,False,995
172468287,403,False,2426,False,1004
135034959,753,True,164098,True,1012
63240290,1599,False,9631,False,1020
142821492,645,False,8798,False,1026
20572303,2792,False,4320387,True,1036
